ticker,name,sector,industry,country,growth_score,quality_score,moat_score,scale_score,valuation_score,momentum_score,policy_tailwind,capex_tailwind,supply_constraint,cyclicality_risk,regulatory_risk,valuation_risk,execution_risk,notes
AI-INFRA,AI infrastructure,Technology,GPUs servers networking liquid cooling data centers,Global,5,5,5,5,1,5,3,5,4,3,2,5,3,Watch NVDA AMD AVGO TSM ASML ARM ANET VRT ETN; strongest growth but valuation risk is high
POWER-GRID,Power grid and electrification,Industrials,Grid equipment transformers cables switchgear power management,Global,5,4,4,5,2,4,5,5,5,2,3,4,3,Watch ETN GE Vernova Siemens Schneider Prysmian Hubbell Quanta Services; grid bottleneck is structural
DATA-POWER,Data center power,Energy/Utilities,Natural gas nuclear geothermal batteries backup power,USA/Global,5,4,4,4,2,5,4,5,4,4,4,4,4,Watch CEG VST NRG GE Vernova Bloom Energy Oklo Cameco; demand is strong but policy and price risk matter
CYBER,Cybersecurity,Technology,Cloud security identity endpoint data protection AI security,Global,4,4,4,4,2,4,3,3,3,2,3,4,3,Watch CRWD PANW ZS FTNT NET CYBR; spending remains resilient as AI expands attack surface
DEFENSE,Defense and security,Industrials,Aerospace missiles drones sensors space defense,USA/Europe,4,4,4,5,2,4,5,4,4,2,3,4,3,Watch LMT RTX NOC GD HII BA Rheinmetall BAE Systems Leonardo Saab; Europe rearms and drones reshape procurement
ROBOTICS,Robotics and automation,Industrials,Factory automation warehouse robots humanoids machine vision,Global,4,3,4,4,3,3,3,4,3,3,3,3,4,Watch ABB Fanuc Keyence Rockwell Teradyne Symbotic; labor scarcity plus AI creates optionality
CRIT-MIN,Critical minerals,Materials,Copper uranium lithium rare earths graphite gallium germanium,Global,4,3,3,4,3,3,5,5,5,5,4,3,4,Watch FCX SCCO BHP RIO TECK CCJ MP ALB SQM; strategic demand but highly cyclical
WATER,Water infrastructure,Industrials/Utilities,Treatment pumps metering filtration irrigation,Global,4,4,4,4,3,3,5,4,4,2,3,3,3,Watch XYL WMS AWK ECL TTEK Veolia; scarcity and regulation support long cycle demand
CIRCULAR,Circular economy,Industrials,Waste recycling metal scrap battery recycling sorting,Global,4,4,4,4,3,3,4,4,4,3,3,3,3,Watch WM RSG WCN CLH STLD NUE TOM.OL BFSA.DE; defensive waste plus commodity-linked upside
OBESITY,Metabolic health and obesity,Healthcare,GLP-1 amylin oral obesity cardiometabolic medicines,Global,5,5,5,5,1,5,4,3,4,2,4,5,3,Watch LLY NVO AMGN VKTX ZEAL.CO; enormous market but expectations are very high
BIO-TOOLS,AI drug discovery and life science tools,Healthcare,AI biology sequencing lab automation diagnostics,Global,4,3,4,4,3,2,3,3,3,3,4,3,4,Watch TMO DHR ILMN RXRX SDGR; picks-and-shovels plus AI biology but funding cycles matter
INDIA-SE-ASIA,India and Southeast Asia consumption,Consumer/Financials,Digital payments banks infrastructure consumer brands,India/ASEAN,5,3,3,4,3,4,4,4,3,4,4,3,4,Watch INDA EPI INDY VNM IDX local leaders; demographics and formalization are strong but governance and FX risk matter
