ticker,name,sector,country,pe,ps,pb,roe,roic,revenue_growth,eps_growth,fcf_margin,operating_margin,debt_to_equity,momentum_12m,volatility,beta,market_cap
ALFA,Alpha Cloud,Technology,USA,32,8.5,10.2,28,22,24,26,21,25,0.35,38,24,1.18,210000
BETA,Beta Chips,Semiconductors,USA,41,11.2,13.1,31,25,29,34,18,28,0.42,52,31,1.34,180000
GAMM,Gamma Bank,Financials,Poland,8,1.7,1.2,15,10,8,10,9,28,1.25,14,18,1.05,19000
DELTA,Delta Stores,Consumer,USA,19,1.1,4.2,22,17,7,8,6,9,0.78,9,16,0.82,76000
EPSI,Epsilon Energy,Energy,Norway,10,1.5,1.4,18,14,4,6,13,19,0.64,20,29,1.22,24000
ZETA,Zeta Health,Healthcare,Switzerland,24,4.8,5.1,19,16,12,15,12,18,0.28,17,19,0.74,95000
ETA,Eta Automation,Industrials,Germany,27,3.2,5.4,24,19,16,19,10,16,0.51,29,22,1.03,52000
THETA,Theta Software,Technology,USA,36,9.4,14.3,35,27,21,24,25,29,0.12,33,21,0.96,145000
IOTA,Iota Retail,Consumer,Poland,14,0.9,2.1,16,12,11,13,5,7,0.84,24,23,1.08,6500
KAPPA,Kappa Utilities,Utilities,Spain,16,2.3,1.8,11,8,3,7,7,14,1.58,7,12,0.55,31000
LAMB,Lambda Bio,Healthcare,USA,58,13.8,7.5,9,7,38,42,-6,-9,0.2,61,49,1.72,16000
MU,Mu Machines,Industrials,Japan,22,2.8,3.9,20,15,14,17,11,15,0.47,26,20,0.94,44000
