ticker,name,status,category,themes
ETN,Eaton,CORE,Electrical equipment,POWER-GRID|DATA-POWER|AI-INFRA
SU.PA,Schneider Electric,CORE,Electrical automation,POWER-GRID|DATA-POWER|AI-INFRA
GEV,GE Vernova,CORE,Grid and power equipment,POWER-GRID|DATA-POWER
PWR,Quanta Services,CORE,Grid construction,POWER-GRID|DATA-POWER
PRY.MI,Prysmian,CORE,Power cables,POWER-GRID|DATA-POWER
APH,Amphenol,WATCH,Connectivity,AI-INFRA
AVGO,Broadcom,CORE,AI silicon,AI-INFRA
TSM,TSMC,CORE,Foundry,AI-INFRA
ANET,Arista Networks,WATCH,AI networking,AI-INFRA
HUBB,Hubbell,WATCH,Grid components,POWER-GRID
CEG,Constellation Energy,WATCH,Nuclear power,DATA-POWER|NUCLEAR
VRT,Vertiv,SPEC,Data center equipment,DATA-POWER|AI-INFRA
ASML,ASML,WATCH,Semicap,AI-INFRA
MU,Micron Technology,SPEC,Memory,AI-INFRA
VST,Vistra,SPEC,Merchant power,DATA-POWER
NVDA,Nvidia,CORE,AI accelerators,AI-INFRA
AMD,Advanced Micro Devices,WATCH,AI accelerators,AI-INFRA
ARM,Arm Holdings,WATCH,Processor IP,AI-INFRA
MRVL,Marvell Technology,WATCH,AI networking silicon,AI-INFRA
QCOM,Qualcomm,WATCH,Edge AI silicon,AI-INFRA
INTC,Intel,SPEC,Foundry turnaround,AI-INFRA|DISTRESSED-REBOUND
AMAT,Applied Materials,WATCH,Semicap,AI-INFRA
LRCX,Lam Research,WATCH,Semicap,AI-INFRA
KLAC,KLA,WATCH,Semicap,AI-INFRA
TER,Teradyne,WATCH,Semicap test,AI-INFRA
ACLS,Axcelis,SPEC,Power semicap,AI-INFRA|SIC
AEHR,Aehr Test Systems,SPEC,Semicap test,AI-INFRA|SIC
MPWR,Monolithic Power Systems,WATCH,Power semiconductors,AI-INFRA|DATA-POWER
ON,ON Semiconductor,SPEC,Power semiconductors,AI-INFRA|SIC
WOLF,Wolfspeed,DISTRESSED,Silicon carbide,DISTRESSED-REBOUND|SIC
ADI,Analog Devices,WATCH,Analog chips,AI-INFRA
TXN,Texas Instruments,WATCH,Analog chips,AI-INFRA
NXPI,NXP Semiconductors,WATCH,Auto and industrial chips,AI-INFRA
MCHP,Microchip Technology,WATCH,Industrial chips,AI-INFRA
STM,STMicroelectronics,WATCH,Power semiconductors,AI-INFRA|SIC
UMC,United Microelectronics,WATCH,Foundry,AI-INFRA
COHR,Coherent,SPEC,Optical components,AI-INFRA
LITE,Lumentum,SPEC,Optical components,AI-INFRA
CIEN,Ciena,WATCH,Optical networking,AI-INFRA
GLW,Corning,WATCH,Fiber and glass,AI-INFRA
DELL,Dell Technologies,WATCH,AI servers,AI-INFRA
HPE,Hewlett Packard Enterprise,WATCH,AI servers,AI-INFRA
SMCI,Super Micro Computer,SPEC,AI servers,AI-INFRA
PSTG,Pure Storage,WATCH,AI storage,AI-INFRA
NTAP,NetApp,WATCH,Enterprise storage,AI-INFRA
WDC,Western Digital,SPEC,Storage cycle,AI-INFRA
STX,Seagate,SPEC,Storage cycle,AI-INFRA
FLEX,Flex,WATCH,Electronics manufacturing,AI-INFRA
JBL,Jabil,WATCH,Electronics manufacturing,AI-INFRA
SANM,Sanmina,WATCH,Electronics manufacturing,AI-INFRA
CLS,Celestica,WATCH,AI hardware manufacturing,AI-INFRA
NVT,nVent Electric,WATCH,Electrical enclosures,POWER-GRID|DATA-POWER
GNRC,Generac,SPEC,Backup power,DATA-POWER
FLNC,Fluence Energy,SPEC,Grid batteries,POWER-GRID|DATA-POWER|DISTRESSED-REBOUND
STEM,Stem,DISTRESSED,Energy storage software,DISTRESSED-REBOUND|DATA-POWER
ARRY,Array Technologies,SPEC,Solar tracker,SOLAR|DISTRESSED-REBOUND
FSLR,First Solar,WATCH,Solar manufacturing,SOLAR
ENPH,Enphase Energy,DISTRESSED,Solar inverter,DISTRESSED-REBOUND|SOLAR
SEDG,SolarEdge,DISTRESSED,Solar inverter,DISTRESSED-REBOUND|SOLAR
RUN,Sunrun,DISTRESSED,Residential solar,DISTRESSED-REBOUND|SOLAR
NOVA,Sunnova,DISTRESSED,Residential solar,DISTRESSED-REBOUND|SOLAR
SHLS,Shoals Technologies,DISTRESSED,Solar balance of system,DISTRESSED-REBOUND|SOLAR
MAXN,Maxeon Solar,DISTRESSED,Solar manufacturing,DISTRESSED-REBOUND|SOLAR
CHPT,ChargePoint,DISTRESSED,EV charging,DISTRESSED-REBOUND|EV-CHARGING
BLNK,Blink Charging,DISTRESSED,EV charging,DISTRESSED-REBOUND|EV-CHARGING
EVGO,EVgo,DISTRESSED,EV charging,DISTRESSED-REBOUND|EV-CHARGING
PLUG,Plug Power,DISTRESSED,Hydrogen,DISTRESSED-REBOUND|HYDROGEN
BE,Bloom Energy,DISTRESSED,Fuel cells,DISTRESSED-REBOUND|HYDROGEN|DATA-POWER
FCEL,FuelCell Energy,DISTRESSED,Fuel cells,DISTRESSED-REBOUND|HYDROGEN
BLDP,Ballard Power,DISTRESSED,Hydrogen,DISTRESSED-REBOUND|HYDROGEN
QS,QuantumScape,DISTRESSED,Batteries,DISTRESSED-REBOUND|BATTERIES
ENVX,Enovix,SPEC,Batteries,BATTERIES|DISTRESSED-REBOUND
FREY,FREYR Battery,DISTRESSED,Batteries,DISTRESSED-REBOUND|BATTERIES
ALB,Albemarle,DISTRESSED,Lithium,DISTRESSED-REBOUND|LITHIUM
LAC,Lithium Americas,DISTRESSED,Lithium,DISTRESSED-REBOUND|LITHIUM
SQM,Sociedad Quimica y Minera,WATCH,Lithium,LITHIUM
LTHM,Arcadium Lithium,DISTRESSED,Lithium,DISTRESSED-REBOUND|LITHIUM
MP,MP Materials,SPEC,Rare earths,CRITICAL-MINERALS|DISTRESSED-REBOUND
UUUU,Energy Fuels,SPEC,Uranium and rare earths,NUCLEAR|CRITICAL-MINERALS
LEU,Centrus Energy,SPEC,Nuclear fuel,NUCLEAR
CCJ,Cameco,WATCH,Uranium,NUCLEAR
BWXT,BWX Technologies,WATCH,Nuclear components,NUCLEAR|DATA-POWER
SMR,NuScale Power,SPEC,Small modular reactors,NUCLEAR|DISTRESSED-REBOUND
OKLO,Oklo,SPEC,Advanced nuclear,NUCLEAR|DATA-POWER
NEE,NextEra Energy,WATCH,Utility and renewables,DATA-POWER|POWER-GRID
SO,Southern Company,WATCH,Utility,DATA-POWER|POWER-GRID
DUK,Duke Energy,WATCH,Utility,DATA-POWER|POWER-GRID
AEP,American Electric Power,WATCH,Utility grid,DATA-POWER|POWER-GRID
EXC,Exelon,WATCH,Utility grid,DATA-POWER|POWER-GRID
PEG,Public Service Enterprise,WATCH,Utility power,DATA-POWER
NRG,NRG Energy,SPEC,Merchant power,DATA-POWER
TLN,Talen Energy,SPEC,Merchant power,DATA-POWER
CEG,Constellation Energy,WATCH,Nuclear power,DATA-POWER|NUCLEAR
WMB,Williams,WATCH,Gas infrastructure,DATA-POWER
ET,Energy Transfer,WATCH,Gas infrastructure,DATA-POWER
KMI,Kinder Morgan,WATCH,Gas infrastructure,DATA-POWER
LNG,Cheniere Energy,WATCH,LNG,DATA-POWER
GVA,Granite Construction,WATCH,Infrastructure,POWER-GRID
MTZ,MasTec,WATCH,Infrastructure,POWER-GRID|DATA-POWER
STRL,Sterling Infrastructure,WATCH,Infrastructure,POWER-GRID|DATA-POWER
FIX,Comfort Systems,WATCH,Data center construction,DATA-POWER
EME,EMCOR,WATCH,Mechanical electrical construction,DATA-POWER|POWER-GRID
JCI,Johnson Controls,WATCH,Building systems,DATA-POWER
CARR,Carrier Global,WATCH,Cooling and HVAC,DATA-POWER
TT,Trane Technologies,WATCH,Cooling and HVAC,DATA-POWER
ROK,Rockwell Automation,WATCH,Industrial automation,POWER-GRID|AI-INFRA
EMR,Emerson Electric,WATCH,Industrial automation,POWER-GRID
HON,Honeywell,WATCH,Industrial automation,POWER-GRID
PH,Parker-Hannifin,WATCH,Industrial components,POWER-GRID
IR,Ingersoll Rand,WATCH,Industrial components,POWER-GRID
IEX,IDEX,WATCH,Industrial components,POWER-GRID
