ticker,name,sector,industry,country,category,theme_count,ai_exposure,data_center_exposure,grid_exposure,growth_score,quality_score,moat_score,scale_score,valuation_score,momentum_score,policy_tailwind,capex_tailwind,supply_constraint,backlog_score,power_efficiency_score,cyclicality_risk,regulatory_risk,valuation_risk,execution_risk,geopolitical_risk,customer_concentration_risk,notes
ETN,Eaton,Industrials,Electrical power management,Ireland/USA,Core compounder,3,4,5,5,5,5,5,5,2,5,5,5,4,5,4,2,2,5,2,3,3,Overlaps POWER-GRID DATA-POWER AI-INFRA; best all-around electrification radar but valuation risk is high
SU.PA,Schneider Electric,Industrials,Energy management automation data centers,France,Core compounder,3,4,5,5,5,5,5,5,2,5,5,5,4,5,4,2,2,5,2,3,3,Similar to Eaton with stronger global automation mix and high-quality data-center exposure
GEV,GE Vernova,Industrials,Gas turbines grid electrification,USA,Grid plus power,2,3,5,5,5,4,5,5,2,5,5,5,5,5,4,3,3,5,3,3,3,Direct beneficiary of power shortage: gas turbines grid equipment and electrification backlog
PWR,Quanta Services,Industrials,Electric infrastructure construction,USA,Execution platform,2,2,4,5,5,4,5,5,2,5,5,5,4,5,3,3,3,5,3,3,3,Infrastructure builder with record backlog and exposure to utility plus large-load projects
PRY.MI,Prysmian,Industrials,Power and data cables,Italy,Cables leader,3,3,4,5,5,4,5,5,3,5,5,5,5,5,4,3,3,4,3,3,3,Power cables and data-center connectivity; strong backlog and structural cable bottleneck
VRT,Vertiv,Industrials,Data center power and thermal management,USA,Data-center equipment,2,5,5,4,5,4,5,4,1,5,3,5,4,5,4,3,2,5,3,3,3,Direct AI data-center power and cooling exposure; excellent trend but expensive and cyclical
AVGO,Broadcom,Technology,Custom AI ASICs networking VMware,USA,AI silicon,1,5,5,2,5,5,5,5,2,5,3,5,5,4,4,3,2,4,3,3,4,Custom AI ASICs plus networking plus software cash flow; strong but concentrated AI customer risk
TSM,TSMC,Technology,Advanced foundry and packaging,Taiwan,Foundry,1,5,5,1,5,5,5,5,2,5,3,5,5,4,5,4,3,4,2,5,3,Foundry and advanced packaging bottleneck; geopolitical risk is the permanent discount
ANET,Arista Networks,Technology,AI data-center ethernet networking,USA,Networking,1,5,5,1,5,5,5,4,2,5,3,5,4,4,4,3,2,4,2,3,4,AI networking leader; watch customer concentration and hyperscaler capex cycles
APH,Amphenol,Technology/Industrials,Connectors cables sensors,USA,Connectivity,1,5,5,2,5,5,5,5,2,5,3,5,4,4,4,3,2,4,2,3,3,Connectors and cabling are picks-and-shovels across AI servers networking and electrification
CEG,Constellation Energy,Utilities,Nuclear gas renewables retail power,USA,Clean power,1,1,5,2,5,5,5,5,2,5,4,4,4,5,3,2,4,5,3,3,3,Nuclear-powered data-center demand; watch regulation power prices and acquisition integration
VST,Vistra,Utilities,Nuclear gas retail power batteries,USA,Merchant power,1,1,5,2,5,4,4,5,2,5,4,5,4,5,3,3,4,5,3,3,3,Nuclear and gas scarcity trade with PPAs; higher commodity and merchant power exposure
HUBB,Hubbell,Industrials,Utility components grid automation,USA,Grid components,1,1,2,5,4,5,4,4,3,4,5,4,4,4,2,2,2,4,2,2,2,Direct US utility T&D equipment and smart grid exposure; less flashy but durable
NVT,nVent Electric,Industrials,Electrical enclosures connection protection,UK/USA,Electrical components,1,2,4,4,4,4,4,3,3,4,4,4,3,4,3,3,2,3,2,2,2,Electrical protection enclosures and thermal management components
POWL,Powell Industries,Industrials,Switchgear and power control systems,USA,Specialist equipment,1,2,4,5,5,3,3,2,3,5,4,5,5,5,3,4,3,4,4,3,3,Small-cap switchgear exposure; high upside but less diversified and more project-driven
MU,Micron Technology,Technology,DRAM HBM NAND memory,USA,Memory,1,5,5,1,5,3,4,4,3,5,2,5,5,5,4,5,3,3,3,4,4,HBM leverage to AI servers; memory cyclicality remains the key risk
ASML,ASML,Technology,EUV lithography equipment,Netherlands,Semicap monopoly,1,5,4,1,4,5,5,5,2,4,2,5,5,5,4,4,3,4,2,4,3,EUV monopoly-like position; cycle timing and export controls matter
CCJ,Cameco,Energy,Uranium mining and nuclear fuel,Canada,Nuclear fuel,1,1,3,1,4,4,4,4,3,4,4,4,5,4,2,5,4,3,3,3,3,Nuclear fuel leverage to reactor restarts and new nuclear power demand
WMB,Williams Companies,Energy,Natural gas pipelines,USA,Gas infrastructure,1,1,3,2,3,4,4,4,4,3,4,4,4,4,2,3,4,2,3,3,3,Gas pipeline beneficiary from power demand; slower but less speculative
BE,Bloom Energy,Industrials,Solid oxide fuel cells onsite power,USA,Speculative onsite power,1,2,5,3,5,2,3,2,1,5,3,5,3,3,3,4,4,5,5,4,4,Can bypass grid delays for data centers; high execution valuation and financing risk
