theme,horizon,conviction,why_now,example_tickers,main_risk,next_check
AI power and grid,Weeks-months,High,AI capex przesuwa sie z chipow na prad sieci transformatory kable i wykonawstwo,ETN SU.PA GEV PWR HUBB PRY.MI,Valuation crowding and capex pause,Backlog orders book-to-bill and margin guidance
Data center thermal and electrical,Weeks-months,High,Data centers potrzebuja chlodzenia UPS switchgear i integracji mocy,VRT ETN SU.PA FIX,High valuation and customer concentration,Orders backlog liquid cooling gross margin
Nuclear and firm power,Months,Medium-high,Data centers chca stabilnej energii a nuclear/PPA wraca do narracji,CEG VST OKLO SMR,Regulation execution and hype risk,PPA announcements regulatory approvals balance sheet
Industrial automation and reshoring,Months,Medium,Capex manufacturing AI factories and automation poszerzaja leadership poza software,SU.PA EMR ROK PH,Industrial cycle and order slowdown,PMI orders guidance revisions
Semicap and advanced packaging,Months,Medium,AI chips potrzebuja EUV packaging HBM and test equipment,ASML AMAT LRCX KLAC BESI,Export controls and semiconductor cycle,Order intake China restrictions memory capex
AI networking and optical,Weeks-months,Medium,AI clusters wymagaja Ethernet optical interconnect and switching,ANET CIEN COHR AVGO,Customer concentration and fast multiple compression,Cloud capex and AI networking guidance
HBM memory,Weeks-months,Medium,HBM supply remains bottleneck but memory is cyclical,MU SK hynix Samsung,DRAM cycle reversal and inventory,HBM pricing capacity contracts gross margin
Beaten-down clean energy,Months,Speculative,Rate cuts or policy support can re-rate solar storage hydrogen from depressed bases,ENPH SEDG RUN PLUG BE,Solvency dilution demand weakness,Cash runway gross margin debt maturities
EV charging and mobility losers,Weeks-months,Speculative,Short-covering possible after extreme drawdowns if losses narrow,CHPT BLNK EVGO LCID RIVN,Funding dilution and weak demand,Cash burn liquidity unit economics
Lithium and battery materials,Months,Speculative,Commodity downcycle can turn if supply cuts meet EV/storage demand,ALB LAC SQM,Commodity price and project financing,Lithium price cash cost balance sheet
